Channel Accuracy: 10 Bits
Measurement Range 0...5V --> Resolution: 5V/2^10 = 4.9mV
Measured two channels at a Frequency of 2000 Hz
Time (s)	Ch.1 (V)	Ch.2 (V)
0	2.431640625	3.8818359375
0.000504	2.4267578125	3.88671875
0.000996	2.431640625	3.8916015625
0.001496	2.4267578125	3.88671875
0.002	2.421875	3.896484375
0.002504	2.4169921875	3.8916015625
0.002996	2.4072265625	3.8916015625
0.003504	2.3974609375	3.8916015625
0.003996	2.3974609375	3.88671875
0.004496	2.3974609375	3.8916015625
0.005	2.3876953125	3.8916015625
0.005504	2.392578125	3.88671875
0.005996	2.40234375	3.896484375
0.006496	2.40234375	3.88671875
0.007	2.40234375	3.896484375
0.007504	2.4072265625	3.8916015625
0.007996	2.4072265625	3.8916015625
0.0085	2.412109375	3.88671875
0.009	2.4072265625	3.8818359375
0.0095	2.4072265625	3.876953125
0.01	2.4072265625	3.88671875
0.0105	2.412109375	3.8916015625
0.011	2.4072265625	3.88671875
0.0115	2.3974609375	3.896484375
0.012	2.40234375	3.896484375
0.0125	2.4072265625	3.8916015625
0.013	2.4072265625	3.8916015625
0.0135	2.40234375	3.8818359375
0.014	2.4072265625	3.8916015625
0.0145	2.4072265625	3.8818359375
0.015	2.40234375	3.8916015625
0.0155	2.4072265625	3.88671875
0.016	2.4072265625	3.88671875
0.0165	2.40234375	3.8818359375
0.017	2.4072265625	3.8916015625
0.0175	2.4072265625	3.8818359375
0.018	2.4072265625	3.88671875
0.018508	2.4072265625	3.88671875
0.018996	2.4072265625	3.88671875
0.019496	2.3974609375	3.8916015625
0.02	2.4072265625	3.88671875
0.020504	2.4072265625	3.8916015625
0.020996	2.4072265625	3.8916015625
0.021496	2.40234375	3.8916015625
0.022	2.4072265625	3.8916015625
0.022504	2.4072265625	3.88671875
0.022996	2.40234375	3.8916015625
0.023496	2.40234375	3.8916015625
0.024	2.4072265625	3.88671875
0.024504	2.40234375	3.88671875
0.024996	2.451171875	3.8916015625
0.025496	2.40234375	3.8916015625
0.026	2.40234375	3.8818359375
0.026504	2.4072265625	3.88671875
0.026996	2.4072265625	3.8818359375
0.027496	2.4072265625	3.8818359375
0.028	2.4072265625	3.8916015625
0.028504	2.40234375	3.88671875
0.028996	2.4072265625	3.8916015625
0.029496	2.3974609375	3.88671875
0.029996	2.40234375	3.88671875
0.030496	2.3974609375	3.88671875
0.030996	2.3974609375	0.91796875
0.031496	2.0068359375	0.947265625
0.031996	1.7724609375	0.95703125
0.032496	1.640625	0.95703125
0.032996	1.6259765625	0.95703125
0.033496	1.6943359375	0.9619140625
0.033996	1.8408203125	0.9375
0.034496	2.03125	0.9326171875
0.034996	2.2216796875	0.9326171875
0.035496	2.412109375	0.9130859375
0.035996	2.55859375	0.908203125
0.036496	2.666015625	0.9033203125
0.036996	2.724609375	0.9033203125
0.037496	2.7294921875	0.8984375
0.037996	2.7001953125	0.8984375
0.038496	2.63671875	0.908203125
0.038996	2.5537109375	0.91796875
0.039496	2.4755859375	0.9130859375
0.04	2.3876953125	0.9228515625
0.040504	2.3291015625	0.9228515625
0.040996	2.2900390625	0.91796875
0.041496	2.2607421875	0.927734375
0.042	2.265625	0.9228515625
0.042504	2.28515625	0.9228515625
0.042996	2.314453125	0.927734375
0.043496	2.3388671875	0.9326171875
0.044	2.3828125	0.9228515625
0.044504	2.4169921875	0.91796875
0.044996	2.4462890625	0.91796875
0.045496	2.4560546875	0.91796875
0.046	2.4658203125	0.9130859375
0.0465	2.4462890625	0.908203125
0.047	2.451171875	0.91796875
0.047504	2.44140625	0.91796875
0.047996	2.421875	0.91796875
0.048496	2.412109375	0.9228515625
0.049	2.392578125	0.9130859375
