Channel Accuracy: 10 Bits
Measurement Range 0...5V --> Resolution: 5V/2^10 = 4.9mV
Measured two channels at a Frequency of 2000 Hz
Time (s)	Ch.1 (V)	Ch.2 (V)
0	2.75390625	3.486328125
0.0005	2.8125	2.744140625
0.001	2.7392578125	1.875
0.0015	2.548828125	1.2060546875
0.002	2.3046875	0.927734375
0.0025	2.0947265625	1.171875
0.003	1.9921875	1.845703125
0.0035	2.041015625	2.6953125
0.004	2.2119140625	3.4619140625
0.0045	2.44140625	3.8427734375
0.005	2.6611328125	3.7548828125
0.0055	2.7978515625	3.18359375
0.006	2.7978515625	2.3486328125
0.0065	2.666015625	1.5283203125
0.007	2.431640625	1.0205078125
0.007508	2.2021484375	0.986328125
0.007996	2.0361328125	1.435546875
0.008496	2.001953125	2.2216796875
0.009	2.099609375	3.076171875
0.009504	2.314453125	3.701171875
0.009996	2.548828125	3.8525390625
0.010496	2.7392578125	3.525390625
0.011	2.8125	2.802734375
0.011504	2.744140625	1.923828125
0.011996	2.55859375	1.2451171875
0.012496	2.3193359375	0.9423828125
0.013	2.109375	1.1474609375
0.013504	1.9970703125	1.8017578125
0.013996	2.03125	2.63671875
0.014496	2.1923828125	3.4130859375
0.015	2.431640625	3.8427734375
0.015504	2.65625	3.76953125
0.015996	2.7880859375	3.232421875
0.016496	2.7978515625	2.3974609375
0.017	2.666015625	1.5625
0.017504	2.451171875	1.03515625
0.017996	2.2119140625	0.9716796875
0.018496	2.0458984375	1.40625
0.018996	1.9970703125	2.1728515625
0.019496	2.0947265625	3.0322265625
0.019996	2.2998046875	3.671875
0.020496	2.5439453125	3.8671875
0.020996	2.734375	3.564453125
0.021496	2.8173828125	2.8466796875
0.021996	2.75390625	1.9873046875
0.022496	2.568359375	1.259765625
0.022996	2.3291015625	0.9375
0.023496	2.1142578125	1.1279296875
0.023996	1.9970703125	1.748046875
0.024496	2.021484375	2.607421875
0.024996	2.1826171875	3.388671875
0.025496	2.4169921875	3.8330078125
0.025996	2.6416015625	3.779296875
0.026496	2.783203125	3.2421875
0.026996	2.7978515625	2.4365234375
0.027496	2.67578125	1.5966796875
0.027996	2.4560546875	1.0498046875
0.028496	2.2119140625	0.9716796875
0.029	2.0458984375	1.38671875
0.029504	1.9970703125	2.177734375
0.029996	2.08984375	3.0224609375
0.030496	2.2900390625	3.662109375
0.031	2.529296875	3.8623046875
0.031504	2.7294921875	3.5546875
0.031996	2.8125	2.8662109375
0.032496	2.7587890625	2.001953125
0.033	2.5732421875	1.2646484375
0.033504	2.3291015625	0.9423828125
0.033996	2.1240234375	1.1181640625
0.034496	1.9970703125	1.7431640625
0.035	2.03125	2.6220703125
0.0355	2.1826171875	3.388671875
0.036	2.412109375	3.828125
0.036504	2.6416015625	3.7744140625
0.036996	2.7880859375	3.2568359375
0.037496	2.802734375	2.421875
0.038	2.6806640625	1.591796875
0.038504	2.4560546875	1.0302734375
0.038996	2.216796875	0.9619140625
0.039496	2.0458984375	1.3818359375
0.04	1.9970703125	2.177734375
0.0405	2.08984375	3.0322265625
0.041	2.294921875	3.681640625
0.0415	2.5390625	3.8720703125
0.042	2.7294921875	3.5595703125
0.0425	2.8125	2.8515625
0.043	2.75390625	1.9775390625
0.0435	2.568359375	1.26953125
0.044	2.32421875	0.9375
0.0445	2.119140625	1.123046875
0.045	2.001953125	1.7626953125
0.0455	2.021484375	2.6123046875
0.046	2.1923828125	3.408203125
0.0465	2.421875	3.837890625
0.047	2.6416015625	3.7646484375
0.0475	2.7880859375	3.232421875
0.048	2.802734375	2.3974609375
0.0485	2.6708984375	1.5771484375
0.049	2.451171875	1.03515625
0.0495	2.2119140625	0.9716796875
0.05	2.0458984375	1.416015625
0.050504	2.001953125	2.2119140625
0.050996	2.0947265625	3.046875
0.051496	2.294921875	3.6865234375
0.052	2.5390625	3.8623046875
0.052504	2.7392578125	3.5302734375
0.052996	2.8125	2.822265625
0.053496	2.7490234375	1.953125
0.054	2.5634765625	1.240234375
0.054504	2.314453125	0.927734375
0.054996	2.1142578125	1.142578125
0.055496	2.0068359375	1.7919921875
0.056	2.03125	2.6708984375
0.056504	2.197265625	3.4521484375
0.056996	2.421875	3.84765625
0.057496	2.65625	3.7548828125
0.058	2.79296875	3.18359375
0.058504	2.7880859375	2.3388671875
0.058996	2.65625	1.5380859375
0.059496	2.4365234375	1.015625
0.06	2.1923828125	0.986328125
0.060504	2.03125	1.4599609375
0.060996	2.0068359375	2.2412109375
0.061496	2.099609375	3.10546875
0.061996	2.314453125	3.7109375
0.062496	2.55859375	3.8623046875
0.062996	2.7392578125	3.505859375
0.063496	2.8125	2.763671875
0.063996	2.7392578125	1.89453125
0.064496	2.548828125	1.2060546875
0.064996	2.3046875	0.9375
0.065496	2.0947265625	1.1865234375
0.065996	2.001953125	1.845703125
0.066496	2.041015625	2.7197265625
0.066996	2.20703125	3.4765625
0.067496	2.451171875	3.8525390625
0.067996	2.666015625	3.73046875
0.068496	2.7978515625	3.1298828125
0.068996	2.7880859375	2.28515625
0.069496	2.6416015625	1.474609375
0.069996	2.412109375	1.0009765625
0.070496	2.1875	1.005859375
0.071004	2.021484375	1.513671875
0.071504	2.01171875	2.333984375
0.071996	2.1240234375	3.1787109375
0.072504	2.3095703125	3.75
0.072996	2.578125	3.84765625
0.073496	2.75390625	3.447265625
0.074	2.8076171875	2.67578125
0.074504	2.71484375	1.8017578125
0.074996	2.529296875	1.162109375
0.075496	2.28515625	0.9375
0.076	2.0849609375	1.2353515625
0.076504	1.9970703125	1.953125
0.076996	2.05078125	2.822265625
0.077504	2.236328125	3.544921875
0.077996	2.4755859375	3.8623046875
0.078496	2.685546875	3.681640625
0.079	2.8125	3.037109375
0.079504	2.7783203125	2.1728515625
0.079996	2.6220703125	1.40625
0.080496	2.3876953125	0.966796875
0.081	2.1630859375	1.0400390625
0.081504	2.0166015625	1.6064453125
0.081996	2.0166015625	2.421875
0.0825	2.1484375	3.2568359375
0.083	2.3681640625	3.7939453125
0.0835	2.607421875	3.828125
0.084	2.7734375	3.3544921875
0.0845	2.8076171875	2.5732421875
0.085	2.7001953125	1.708984375
0.0855	2.4853515625	1.103515625
0.086	2.2509765625	0.947265625
0.0865	2.0654296875	1.30859375
0.087	2.001953125	2.05078125
0.0875	2.0751953125	2.9248046875
0.088	2.2705078125	3.61328125
0.0885	2.509765625	3.876953125
0.089	2.71484375	3.6083984375
0.0895	2.8076171875	2.9345703125
0.09	2.7392578125	2.060546875
0.0905	2.5927734375	1.318359375
0.091	2.353515625	0.9423828125
0.0915	2.12890625	1.0888671875
0.092	2.0166015625	1.708984375
0.092508	2.03125	2.5732421875
0.092996	2.177734375	3.349609375
0.093496	2.3974609375	3.8232421875
0.094	2.63671875	3.7841796875
