mass B_position
frame	score	x_target	y_target
32	Infinity	-0.01	0.01
33	7,5	-0.01	0.01
34	25,8	-0.01	0.01
35	23,2	-0.01	0.01
36	74,8	-0.01	0.01
37	52,0	-0.01	0.01
38	28,0	-0.01	0.01
39	52,2	-0.01	0.01
40	48,4	-0.01	0.01
41	27,6	-0.01	0.01
42	15,2	-0.01	0.02
43	12,1	-0.01	0.02
44	15,0	-0.02	0.02
45	41,6	-0.02	0.02
46	11,6	-0.00	0.03
47	21,1	-0.01	0.03
48	23,8	-0.01	0.04
49	28,2	-0.00	0.05
50	12,6	-0.00	0.05
51	11,0	0.01	0.05
52	14,1	0.02	0.05
53	29,2	0.02	0.06
54	18,6	0.02	0.07
55	18,1	0.02	0.08
56	11,3	0.03	0.08
57	16,3	0.03	0.08
58	23,6	0.04	0.09
59	15,1	0.04	0.10
60	6,9	0.04	0.11
61	8,6	0.04	0.11
62	10,4	0.04	0.11
63	24,8	0.05	0.12
64	27,1	0.05	0.13
65	10,2	0.06	0.13
66	29,2	0.06	0.14
67	12,3	0.07	0.15
68	13,7	0.07	0.16
69	31,4	0.07	0.16
70	28,1	0.07	0.17
71	220,5	0.07	0.17
72	24,7	0.08	0.18
73	24,7	0.08	0.18
