mass Red_position
frame	score	x_target	y_target
32	33,3	-0,094	-0,079
33	1,4	-0,085	-0,081
34	3,9	-0,082	-0,078
35	2,8	-0,072	-0,069
36	6,1	-0,07	-0,066
37	12,9	-0,064	-0,06
38	16,5	-0,061	-0,058
39	8,1	-0,053	-0,051
40	16,8	-0,051	-0,047
41	35,0	-0,045	-0,042
42	18,4	-0,042	-0,039
43	18,1	-0,036	-0,033
44	14,9	-0,032	-0,027
45	20,1	-0,027	-0,024
46	48,3	-0,026	-0,024
47	32,7	-0,025	-0,024
48	40,4	-0,023	-0,024
49	33,2	-0,021	-0,024
50	43,9	-0,02	-0,024
51	58,8	-0,018	-0,024
52	45,0	-0,016	-0,024
53	36,9	-0,014	-0,023
54	40,3	-0,013	-0,024
55	31,8	-0,011	-0,024
56	38,3	-0,01	-0,024
57	20,5	-0,015	-0,028
58	31,7	-0,014	-0,029
59	17,4	-0,013	-0,029
60	16,9	-0,012	-0,03
61	14,5	-0,012	-0,027
62	12,5	-0,017	-0,019
63	25,0	-0,015	-0,019
64	9,8	-0,013	-0,025
65	15,0	-0,009	-0,025
66	19,2	-0,011	-0,024
67	36,8	-0,01	-0,024
68	23,3	-0,001	-0,031
69	21,1	0,006	-0,025
70	44,0	0,007	-0,025
71	13,7	0,002	-0,026
72	18,9	0,009	-0,025
73	18,4	0,003	-0,021
