t,x,y,vx,vy
0.017,-5.965E-3,6.691E-4,-1.492E-2,-6.935E-4
0.033,-6.137E-3,7.927E-4,-1.456E-2,2.697E-3
0.050,-6.450E-3,7.590E-4,-2.457E-2,-5.108E-3
0.067,-6.956E-3,6.225E-4,-2.139E-2,-6.565E-3
0.083,-7.163E-3,5.401E-4,-1.166E-2,-4.889E-3
0.100,-7.344E-3,4.595E-4,0.149,0.242
0.117,-2.191E-3,8.599E-3,0.265,0.411
0.133,1.482E-3,1.415E-2,0.213,0.332
0.150,4.908E-3,1.968E-2,0.315,0.487
0.167,1.197E-2,3.037E-2,0.318,0.488
0.183,1.550E-2,3.593E-2,0.320,0.492
0.200,2.262E-2,4.677E-2,0.332,0.488
0.217,2.656E-2,5.219E-2,0.215,0.322
0.233,2.980E-2,5.750E-2,0.319,0.495
0.250,3.719E-2,6.869E-2,0.332,0.496
0.267,4.085E-2,7.403E-2,0.213,0.329
0.283,4.428E-2,7.964E-2,0.310,0.492
0.300,5.117E-2,9.043E-2,0.310,0.487
0.317,5.463E-2,9.588E-2,0.208,0.334
0.333,5.812E-2,0.102,0.314,0.494
0.350,6.511E-2,0.112,0.307,0.496
0.367,6.833E-2,0.118,0.204,0.334
0.383,7.190E-2,0.123,0.318,0.488
0.400,7.894E-2,0.134,0.307,0.492
0.417,8.214E-2,0.140,0.306,0.490
0.433,8.913E-2,0.151,0.307,0.490
0.450,9.239E-2,0.156,0.301,0.491
0.467,9.918E-2,0.167,0.303,0.492
0.483,0.102,0.173,0.192,0.331
0.500,0.106,0.178,0.196,0.322
0.517,0.109,0.183,0.294,0.480
0.533,0.115,0.194,0.297,0.480
0.550,0.119,0.199,0.210,0.321
0.567,0.122,0.205,0.295,0.483
