	mass_B
t,x,y,vx,vy
0.000,-0.230,-7.073E-3,,
0.017,-0.226,-7.703E-3,0.262,-4.193E-2
0.033,-0.222,-8.470E-3,0.262,-3.613E-2
0.050,-0.217,-8.907E-3,0.388,-5.776E-2
0.067,-0.209,-1.040E-2,0.390,-7.137E-2
0.083,-0.204,-1.129E-2,0.389,-6.707E-2
0.100,-0.196,-1.263E-2,0.391,-6.496E-2
0.117,-0.191,-1.345E-2,0.260,-4.676E-2
0.133,-0.187,-1.419E-2,0.386,-6.659E-2
0.150,-0.178,-1.567E-2,0.391,-6.074E-2
0.167,-0.174,-1.621E-2,0.267,-3.666E-2
0.183,-0.170,-1.689E-2,0.269,-4.040E-2
0.200,-0.165,-1.756E-2,0.404,-5.943E-2
0.217,-0.156,-1.887E-2,0.402,-5.860E-2
0.233,-0.152,-1.951E-2,0.269,-3.981E-2
0.250,-0.147,-2.020E-2,0.398,-6.349E-2
0.267,-0.138,-2.163E-2,0.397,-6.286E-2
0.283,-0.134,-2.230E-2,0.401,-6.389E-2
0.300,-0.125,-2.376E-2,0.399,-6.553E-2
0.317,-0.121,-2.448E-2,0.263,-4.340E-2
0.333,-0.116,-2.521E-2,0.268,-4.808E-2
0.350,-0.112,-2.608E-2,0.401,-6.892E-2
0.367,-0.103,-2.750E-2,0.402,-6.150E-2
0.383,-9.832E-2,-2.813E-2,0.277,-4.624E-2
0.400,-9.365E-2,-2.905E-2,0.275,-4.771E-2
0.417,-8.916E-2,-2.972E-2,0.270,-4.992E-2
0.433,-8.465E-2,-3.071E-2,0.407,-6.139E-2
0.450,-7.559E-2,-3.177E-2,0.406,-5.204E-2
0.467,-7.113E-2,-3.244E-2,0.265,-3.332E-2
0.483,-6.676E-2,-3.288E-2,0.394,-6.346E-2
0.500,-5.799E-2,-3.456E-2,0.398,-7.578E-2
0.517,-5.349E-2,-3.541E-2,0.267,-4.735E-2
0.533,-4.910E-2,-3.614E-2,0.269,-4.512E-2
0.550,-4.451E-2,-3.691E-2,0.267,-3.920E-2
0.567,-4.019E-2,-3.745E-2,0.399,-5.770E-2
0.583,-3.121E-2,-3.883E-2,0.399,-6.279E-2
0.600,-2.690E-2,-3.954E-2,0.262,-4.866E-2
0.617,-2.248E-2,-4.046E-2,0.264,-4.974E-2
0.633,-1.811E-2,-4.120E-2,1.826E-2,-5.798E-2
0.650,-2.187E-2,-4.239E-2,-0.239,-5.426E-2
0.667,-2.606E-2,-4.300E-2,-0.254,-4.440E-2
0.683,-3.034E-2,-4.387E-2,-0.251,-4.641E-2
0.700,-3.444E-2,-4.455E-2,-0.372,-6.632E-2
0.717,-4.273E-2,-4.608E-2,-0.373,-6.882E-2
0.733,-4.686E-2,-4.685E-2,-0.248,-4.650E-2
0.750,-5.101E-2,-4.763E-2,-0.245,-4.767E-2
0.767,-5.504E-2,-4.844E-2,-0.371,-6.409E-2
0.783,-6.338E-2,-4.977E-2,-0.379,-6.468E-2
0.800,-6.766E-2,-5.059E-2,-0.253,-4.406E-2
0.817,-7.181E-2,-5.123E-2,-0.379,-7.079E-2
0.833,-8.028E-2,-5.295E-2,-0.377,-7.221E-2
0.850,-8.438E-2,-5.364E-2,-0.250,-4.188E-2
0.867,-8.860E-2,-5.435E-2,-0.248,-4.085E-2
0.883,-9.263E-2,-5.500E-2,-0.364,-6.026E-2
0.900,-0.101,-5.636E-2,-0.368,-6.576E-2
0.917,-0.105,-5.719E-2,-0.249,-4.633E-2
0.933,-0.109,-5.790E-2,-0.245,-4.495E-2
0.950,-0.113,-5.869E-2,-0.245,-4.863E-2
0.967,-0.117,-5.952E-2,-0.365,-6.426E-2
0.983,-0.125,-6.084E-2,-0.362,-6.710E-2
1.000,-0.129,-6.176E-2,-0.242,-4.849E-2
1.017,-0.133,-6.245E-2,-0.232,-3.865E-2
1.033,-0.137,-6.305E-2,-0.332,-6.221E-2
1.050,-0.144,-6.453E-2,-0.330,-6.662E-2
1.067,-0.148,-6.527E-2,-0.209,-4.337E-2
1.083,-0.151,-6.597E-2,-0.313,-6.086E-2
1.100,-0.158,-6.730E-2,-0.315,-6.220E-2
1.117,-0.162,-6.804E-2,-0.205,-4.001E-2
1.133,-0.165,-6.863E-2,-0.298,-5.816E-2
1.150,-0.172,-6.998E-2,-0.287,-5.996E-2
1.167,-0.175,-7.063E-2,-0.184,-3.975E-2
1.183,-0.178,-7.131E-2,-0.261,-5.181E-2
1.200,-0.184,-7.235E-2,-0.255,-5.085E-2
1.217,-0.186,-7.300E-2,-0.166,-3.927E-2
1.233,-0.189,-7.366E-2,-0.158,-3.687E-2
1.250,-0.192,-7.423E-2,-0.233,-5.387E-2
1.267,-0.197,-7.546E-2,-0.231,-5.454E-2
1.283,-0.199,-7.605E-2,-0.154,-3.537E-2
1.300,-0.202,-7.664E-2,-0.152,-3.068E-2
1.317,-0.204,-7.707E-2,-0.154,-2.690E-2
1.333,-0.207,-7.754E-2,,
