t,vx,vy
0.017,0.240,0.437
0.033,0.179,0.346
0.050,0.184,0.347
0.067,0.176,0.329
0.083,0.109,0.223
0.100,0.168,0.337
0.117,0.167,0.322
0.133,0.171,0.324
0.150,0.180,0.326
0.167,0.121,0.210
0.183,0.173,0.309
0.200,0.166,0.158
0.217,0.145,-0.125
0.233,0.148,-0.117
0.250,0.153,-0.124
0.267,0.151,-0.128
0.283,0.139,-0.110
0.300,0.138,-0.113
0.317,9.507E-2,-7.697E-2
0.333,9.078E-2,-7.287E-2
0.350,0.145,-0.127
0.367,0.149,-0.128
0.383,0.148,-0.133
0.400,0.149,-0.133
0.417,0.148,-0.124
0.433,0.145,-0.132
0.450,9.685E-2,-9.376E-2
0.467,0.149,-0.130
0.483,0.145,-0.129
0.500,9.234E-2,-9.235E-2
0.517,0.148,-0.133
0.533,0.143,-0.130
0.550,0.130,-0.135
0.567,0.135,-0.133
0.583,8.994E-2,-8.860E-2
0.600,0.143,-0.152
0.617,0.146,-0.155
0.633,9.030E-2,-9.037E-2
0.650,0.136,-0.132
0.667,0.139,-0.131
0.683,9.587E-2,-9.052E-2
0.700,0.135,-0.146
0.717,0.132,-0.139
0.733,8.371E-2,-9.319E-2
0.750,0.137,-0.158
0.767,0.142,-0.158
0.783,9.864E-2,-9.736E-2
0.800,0.139,-0.155
0.817,0.129,-0.152
0.833,9.444E-2,-9.692E-2
0.850,0.133,-0.150
0.867,0.134,-0.149
0.883,0.135,-0.153
0.900,0.133,-0.152
