t,vx,vy
0.017,0.328,0.312
0.033,0.218,0.202
0.050,0.328,0.307
0.067,0.337,0.319
0.083,0.337,0.313
0.100,0.333,0.302
0.117,0.216,0.207
0.133,0.324,0.310
0.150,0.322,0.302
0.167,0.328,0.302
0.183,0.329,0.305
0.200,0.282,0.227
0.217,0.223,0.159
0.233,0.108,6.189E-2
0.250,0.170,8.765E-2
0.267,0.163,9.617E-2
0.283,0.153,8.976E-2
0.300,0.157,8.537E-2
0.317,0.104,6.099E-2
0.333,9.766E-2,5.631E-2
0.350,0.156,9.252E-2
0.367,0.159,9.143E-2
0.383,0.102,5.960E-2
0.400,0.156,9.835E-2
0.417,0.166,8.789E-2
0.433,0.109,6.440E-2
0.450,0.163,9.725E-2
0.467,0.160,9.158E-2
0.483,0.102,6.234E-2
0.500,0.159,9.332E-2
0.517,0.156,8.898E-2
0.533,0.102,5.749E-2
0.550,0.162,9.237E-2
0.567,0.169,8.140E-2
0.583,0.105,5.313E-2
0.600,9.820E-2,6.118E-2
0.617,0.158,9.300E-2
0.633,0.153,9.074E-2
0.650,0.102,5.087E-2
