t,x,y,θr,vx,vy
0.017,0.146,-9.400E-2,-32.7,-0.951,0.616
0.033,0.136,-8.708E-2,-32.7,-0.945,0.618
0.050,0.115,-7.340E-2,-32.6,-0.939,0.614
0.067,0.104,-6.663E-2,-32.5,-0.933,0.624
0.083,8.363E-2,-5.260E-2,-32.2,-0.936,0.618
0.100,7.327E-2,-4.603E-2,-32.1,-0.934,0.615
0.117,5.249E-2,-3.209E-2,-31.4,-1.239,0.827
0.133,3.196E-2,-1.846E-2,-30.0,-0.919,0.615
0.150,2.185E-2,-1.159E-2,-28.0,-0.812,0.605
0.167,4.902E-3,1.701E-3,19.1,-0.261,0.553
0.183,1.316E-2,6.825E-3,27.4,0.552,0.312
0.200,2.329E-2,1.210E-2,27.5,0.914,0.465
0.217,4.361E-2,2.234E-2,27.1,0.910,0.460
0.233,5.364E-2,2.745E-2,27.1,0.912,0.472
0.250,7.402E-2,3.806E-2,27.2,0.918,0.470
0.267,8.422E-2,4.311E-2,27.1,0.612,0.304
0.283,9.443E-2,4.821E-2,27.0,0.919,0.468
0.300,0.115,5.872E-2,27.1,0.920,0.475
0.317,0.125,6.403E-2,27.1,0.918,0.480
0.333,0.145,7.473E-2,27.2,0.916,0.472
0.350,0.156,7.977E-2,27.1,0.612,0.311
0.367,0.166,8.509E-2,27.2,0.921,0.458
0.383,0.186,9.503E-2,27.0,1.228,0.616
0.400,0.207,0.106,27.1,0.921,0.471
