t,x,y,vx,vy
0.017,2.812E-2,-3.342E-2,-1.078E-2,-2.556E-3
0.033,2.790E-2,-3.352E-2,-6.277E-3,-3.398E-3
0.050,2.791E-2,-3.353E-2,-8.715E-3,-3.879E-3
0.067,2.761E-2,-3.365E-2,-1.403E-2,-2.506E-3
0.083,2.744E-2,-3.362E-2,-1.670E-2,3.018E-2
0.100,2.706E-2,-3.264E-2,-0.117,0.443
0.117,2.356E-2,-1.885E-2,-0.175,0.618
0.133,2.121E-2,-1.203E-2,-0.246,0.588
0.150,1.536E-2,7.524E-4,-0.277,0.565
0.167,1.199E-2,6.818E-3,-0.210,0.352
0.183,8.360E-3,1.248E-2,-0.349,0.474
0.200,3.578E-4,2.262E-2,-0.365,0.441
0.217,-3.817E-3,2.717E-2,-0.257,0.259
0.233,-8.200E-3,3.124E-2,-0.265,0.229
0.250,-1.264E-2,3.480E-2,-0.394,0.285
0.267,-2.133E-2,4.075E-2,-0.389,0.251
0.283,-2.561E-2,4.318E-2,-0.251,0.129
0.300,-2.969E-2,4.506E-2,-0.343,0.142
0.317,-3.704E-2,4.793E-2,-0.318,0.116
0.333,-4.028E-2,4.892E-2,-0.191,4.648E-2
0.350,-4.339E-2,4.948E-2,-0.240,3.576E-2
0.367,-4.827E-2,5.011E-2,-0.204,2.155E-2
0.383,-5.019E-2,5.019E-2,-9.703E-2,2.273E-3
0.400,-5.151E-2,5.018E-2,-0.101,-2.435E-3
0.417,-5.354E-2,5.011E-2,-6.761E-2,-1.982E-3
0.433,-5.376E-2,5.012E-2,1.235E-2,3.135E-3
0.450,-5.313E-2,5.022E-2,4.745E-2,1.226E-2
0.467,-5.218E-2,5.053E-2,6.452E-2,2.934E-2
0.483,-5.098E-2,5.119E-2,0.137,8.437E-2
0.500,-4.760E-2,5.334E-2,0.163,0.107
0.517,-4.555E-2,5.476E-2,0.132,0.101
0.533,-4.321E-2,5.670E-2,0.218,0.199
0.550,-3.826E-2,6.139E-2,0.229,0.230
0.567,-3.559E-2,6.436E-2,0.164,0.191
0.583,-3.281E-2,6.776E-2,0.244,0.348
0.600,-2.746E-2,7.596E-2,0.237,0.385
0.617,-2.492E-2,8.058E-2,0.145,0.289
0.633,-2.263E-2,8.560E-2,0.198,0.483
0.650,-1.830E-2,9.667E-2,0.180,0.513
0.667,-1.663E-2,0.103,9.748E-2,0.372
0.683,-1.505E-2,0.109,0.104,0.587
0.700,-1.316E-2,0.122,6.786E-2,0.605
0.717,-1.279E-2,0.129,-4.629E-3,0.628
0.733,-1.331E-2,0.143,-4.089E-2,0.631
0.750,-1.415E-2,0.150,-6.416E-2,0.420
0.767,-1.545E-2,0.157,-8.887E-2,0.416
0.783,-1.712E-2,0.164,-0.179,0.610
0.800,-2.142E-2,0.178,-0.209,0.594
0.817,-2.408E-2,0.184,-0.164,0.375
0.833,-2.689E-2,0.190,-0.285,0.524
0.850,-3.359E-2,0.201,-0.309,0.497
0.867,-3.720E-2,0.207,-0.224,0.303
0.883,-4.106E-2,0.211,-0.362,0.403
