t,x,y,vx,vy
0.017,-1.694E-3,6.767E-2,-2.035E-3,3.727E-3
0.033,-1.777E-3,6.777E-2,-3.477E-3,3.482E-3
0.050,-1.810E-3,6.779E-2,-2.437E-3,3.183E-3
0.067,-1.858E-3,6.788E-2,-4.035E-4,4.106E-3
0.083,-1.823E-3,6.792E-2,6.286E-4,5.728E-2
0.100,-1.837E-3,6.979E-2,3.079E-2,0.321
0.117,-7.971E-4,7.861E-2,3.879E-2,0.383
0.133,-5.443E-4,8.256E-2,2.694E-2,0.322
0.150,1.008E-4,8.936E-2,2.885E-2,0.308
0.167,4.173E-4,9.283E-2,2.374E-2,0.212
0.183,8.921E-4,9.642E-2,2.951E-2,0.308
0.200,1.401E-3,0.103,2.431E-2,0.303
0.217,1.703E-3,0.107,2.215E-2,0.207
0.233,2.139E-3,0.110,2.913E-2,0.313
0.250,2.673E-3,0.117,2.569E-2,0.308
0.267,2.995E-3,0.120,2.794E-2,0.305
0.283,3.605E-3,0.127,2.327E-2,0.307
0.300,3.771E-3,0.131,8.894E-3,0.200
0.317,3.901E-3,0.134,2.425E-2,0.304
0.333,4.579E-3,0.141,3.249E-2,0.304
0.350,4.984E-3,0.144,2.780E-2,0.298
0.367,5.506E-3,0.151,2.578E-2,0.297
0.383,5.843E-3,0.154,1.748E-2,0.197
0.400,6.089E-3,0.157,2.145E-2,0.300
0.417,6.558E-3,0.164,1.839E-2,0.296
0.433,6.702E-3,0.167,1.892E-2,0.291
0.450,7.189E-3,0.174,2.470E-2,0.299
0.467,7.525E-3,0.177,1.662E-2,0.201
0.483,7.743E-3,0.180,2.213E-2,0.292
0.500,8.263E-3,0.187,2.380E-2,0.291
0.517,8.536E-3,0.190,1.439E-2,0.191
0.533,8.742E-3,0.193,1.741E-2,0.291
0.550,9.117E-3,0.200,1.626E-2,0.289
0.567,9.285E-3,0.203,1.304E-2,0.189
0.583,9.551E-3,0.206,1.564E-2,0.288
0.600,9.806E-3,0.212,1.505E-2,0.289
0.617,1.005E-2,0.216,1.104E-2,0.281
0.633,1.017E-2,0.222,4.573E-3,0.283
0.650,1.021E-2,0.225,3.837E-3,0.289
0.667,1.030E-2,0.231,1.677E-3,0.284
