Channel Accuracy: 10 Bits
Measurement Range 0...5V --> Resolution: 5V/2^10 = 4.9mV
Measured Single Channel at a Frequency of 500 Hz
Time (s)	Voltage (V)
0	0.3076171875
0.002004	0.3076171875
0.003996	0.322265625
0.005996	0.3173828125
0.007996	0.3125
0.009996	0.3271484375
0.011996	0.3173828125
0.013996	0.302734375
0.016	0.322265625
0.018	0.322265625
0.02	0.3125
0.022	0.3173828125
0.023996	0.3173828125
0.025996	0.3173828125
0.027996	0.3173828125
0.029996	0.3076171875
0.031996	0.3173828125
0.033996	0.3173828125
0.035996	0.3173828125
0.037996	0.322265625
0.039996	0.322265625
0.041996	0.3173828125
0.043996	0.3173828125
0.045996	0.3125
0.047996	0.322265625
0.049996	0.3173828125
0.051996	0.3076171875
0.053996	0.3173828125
0.055996	0.3076171875
0.058	0.322265625
0.059996	0.3173828125
0.062	0.322265625
0.064	0.3173828125
0.065996	0.3173828125
0.067996	0.3173828125
0.069996	0.3173828125
0.071996	0.3076171875
0.073996	0.3076171875
0.075996	0.3173828125
0.077996	0.3125
0.079996	0.3125
0.081996	0.3173828125
0.083996	0.302734375
0.085996	0.3076171875
0.087996	0.3173828125
0.089996	0.3173828125
0.091996	0.3125
0.093996	0.3125
0.095996	0.3173828125
0.097996	0.3076171875
0.1	0.3125
0.101996	0.3125
0.104	0.3173828125
0.106	0.3173828125
0.107996	0.322265625
0.109996	0.3125
0.111996	0.3125
0.113996	0.322265625
0.115996	0.3173828125
0.117996	0.3173828125
0.119996	0.322265625
0.122	0.3173828125
0.123996	0.3076171875
0.125996	0.3125
0.127996	0.3173828125
0.129996	0.3125
0.131996	0.302734375
0.133996	0.3076171875
0.135996	0.3173828125
0.137996	0.3076171875
0.139996	0.3076171875
0.141996	0.3125
0.144	0.322265625
0.146	0.3076171875
0.148	0.3173828125
0.15	0.322265625
0.151996	0.3173828125
0.153996	0.322265625
0.155996	0.3125
0.157996	0.3125
0.159996	0.3173828125
0.161996	0.3125
0.163996	0.3173828125
0.165996	0.3076171875
0.167996	0.322265625
0.169996	0.3173828125
0.171996	0.3173828125
0.173996	0.3076171875
0.175996	0.3125
0.177996	0.3173828125
0.179996	0.3173828125
0.181996	0.322265625
0.183996	0.3173828125
0.186	0.3125
0.187996	0.3125
0.19	0.322265625
0.192	0.3173828125
0.193996	0.3173828125
0.195996	0.3076171875
0.197996	0.3173828125
0.199996	0.3076171875
0.201996	0.3173828125
0.203996	0.322265625
0.205996	0.3125
0.207996	0.3125
0.209996	0.3173828125
0.211996	0.3125
0.213996	0.3076171875
0.215996	0.322265625
0.217996	0.3173828125
0.219996	0.3125
0.221996	0.3076171875
0.223996	0.3076171875
0.225996	0.3125
0.228	0.3076171875
0.229996	0.3076171875
0.232	0.3076171875
0.234	0.322265625
0.235996	0.322265625
0.237996	0.3125
0.239996	0.3173828125
0.241996	0.322265625
0.243996	0.3173828125
0.245996	0.3173828125
0.247996	0.3125
0.25	0.3076171875
0.251996	0.3125
0.253996	0.3173828125
0.255996	0.3125
0.257996	0.3076171875
0.259996	0.3173828125
0.261996	0.3173828125
0.263996	0.3173828125
0.265996	0.322265625
0.267996	0.3076171875
0.269996	0.322265625
0.272	0.3173828125
0.274	0.3173828125
0.276	0.3173828125
0.278	0.3173828125
0.279996	0.3125
0.281996	0.322265625
0.283996	0.3076171875
0.285996	0.3173828125
0.287996	0.3125
0.289996	0.3173828125
0.291996	0.322265625
0.293996	0.3173828125
0.295996	0.3173828125
0.297996	0.3173828125
0.299996	0.322265625
0.301996	0.322265625
0.303996	0.3125
0.305996	0.322265625
0.307996	0.3076171875
0.309996	0.3173828125
0.311996	0.3125
0.314	0.3125
0.315996	0.3173828125
0.318	0.3076171875
0.32	0.3173828125
0.321996	0.3173828125
0.323996	0.3125
0.325996	0.3173828125
0.327996	0.322265625
0.329996	0.322265625
0.331996	0.3125
0.333996	0.3125
0.335996	0.322265625
0.337996	0.3125
0.339996	0.3173828125
0.341996	0.3173828125
0.343996	0.3173828125
0.345996	0.3173828125
0.347996	0.3173828125
0.349996	0.3076171875
0.351996	0.3125
0.353996	0.3125
0.356	0.3125
0.357996	0.3173828125
0.36	0.3173828125
0.362	0.3076171875
0.363996	0.3173828125
0.365996	0.3173828125
0.367996	0.322265625
0.369996	0.3076171875
0.371996	0.3076171875
0.373996	0.3173828125
0.375996	0.3173828125
0.378	0.3076171875
0.379996	0.322265625
0.381996	0.3125
0.383996	0.322265625
0.385996	0.3173828125
0.387996	0.3125
0.389996	0.322265625
0.391996	0.3173828125
0.393996	0.3125
0.395996	0.3173828125
0.397996	0.322265625
0.4	0.3125
0.402	0.3076171875
0.404	0.3173828125
0.406	0.3125
0.407996	0.3125
0.409996	0.3173828125
0.411996	0.3125
0.413996	0.3125
0.415996	0.322265625
0.417996	0.3173828125
0.419996	0.322265625
0.421996	0.3076171875
0.423996	0.3076171875
0.425996	0.322265625
0.427996	0.3125
0.429996	0.322265625
0.431996	0.3125
0.433996	0.3173828125
0.435996	0.3173828125
0.437996	0.322265625
0.439996	0.3125
0.442	0.3173828125
0.443996	0.3173828125
0.446	0.3173828125
0.448	0.3173828125
0.449996	0.3125
0.451996	0.3076171875
0.453996	0.3125
0.455996	0.3173828125
0.457996	0.3173828125
0.459996	0.3125
0.461996	0.3173828125
0.463996	0.3173828125
0.465996	0.3173828125
0.467996	0.3076171875
0.469996	0.3076171875
0.471996	0.3125
0.473996	0.3125
0.475996	0.3125
