Channel Accuracy: 10 Bits
Measurement Range 0...5V --> Resolution: 5V/2^10 = 4.9mV
Measured Single Channel at a Frequency of 500 Hz
Time (s)	Voltage (V)
0	0.400390625
0.002	0.400390625
0.003996	0.3857421875
0.005996	0.3955078125
0.007996	0.3955078125
0.009996	0.390625
0.011996	0.3955078125
0.013996	0.390625
0.015996	0.3955078125
0.017996	0.3955078125
0.019996	0.390625
0.021996	0.400390625
0.023996	0.3955078125
0.025996	0.3955078125
0.027996	0.3955078125
0.029996	0.400390625
0.031996	0.390625
0.033996	0.400390625
0.035996	0.3955078125
0.038	0.390625
0.039996	0.390625
0.042	0.390625
0.044	0.3955078125
0.045996	0.400390625
0.047996	0.3955078125
0.049996	0.400390625
0.051996	0.400390625
0.053996	0.390625
0.055996	0.3955078125
0.057996	0.400390625
0.059996	0.3955078125
0.061996	0.400390625
0.063996	0.400390625
0.065996	0.400390625
0.067996	0.3955078125
0.069996	0.400390625
0.071996	0.400390625
0.073996	0.3955078125
0.075996	0.400390625
0.077996	0.400390625
0.08	0.3955078125
0.081996	0.400390625
0.084	0.400390625
0.086	0.400390625
0.087996	0.3955078125
0.089996	0.400390625
0.091996	0.390625
0.093996	0.3955078125
0.095996	0.3955078125
0.097996	0.400390625
0.099996	0.3955078125
0.101996	0.400390625
0.103996	0.400390625
0.105996	0.390625
0.107996	0.400390625
0.109996	0.3955078125
0.111996	0.3955078125
0.113996	0.3955078125
0.115996	0.390625
0.117996	0.3955078125
0.119996	0.400390625
0.121996	0.400390625
0.124	0.400390625
0.126	0.390625
0.128	0.400390625
0.13	0.400390625
0.131996	0.3955078125
0.133996	0.400390625
0.135996	0.3955078125
0.137996	0.3955078125
0.139996	0.4052734375
0.141996	0.3955078125
0.143996	0.400390625
0.145996	0.400390625
0.147996	0.3955078125
0.149996	0.390625
0.151996	0.3955078125
0.153996	0.390625
0.155996	0.3955078125
0.157996	0.400390625
0.159996	0.390625
0.161996	0.3955078125
0.163996	0.400390625
0.166	0.400390625
0.167996	0.3955078125
0.17	0.400390625
0.172	0.400390625
0.173996	0.390625
0.175996	0.4052734375
0.177996	0.400390625
0.179996	0.3955078125
0.181996	0.3955078125
0.183996	0.3955078125
0.185996	0.400390625
0.187996	0.400390625
0.189996	0.3955078125
0.191996	0.390625
0.193996	0.3955078125
0.195996	0.400390625
0.197996	0.3955078125
0.199996	0.400390625
0.201996	0.3857421875
0.203996	0.400390625
0.205996	0.3857421875
0.208	0.3955078125
0.209996	0.3955078125
0.212	0.390625
0.214	0.3955078125
