Channel Accuracy: 10 Bits
Measurement Range 0...5V --> Resolution: 5V/2^10 = 4.9mV
Measured two channels at a Frequency of 500 Hz
Time (s)	Ch.1 (V)	Ch.2 (V)
0	1.0693359375	1.81640625
0.002	1.0595703125	2.1240234375
0.004004	1.07421875	2.3779296875
0.006	1.0791015625	2.5634765625
0.008004	1.07421875	2.7001953125
0.01	1.0791015625	2.802734375
0.012004	1.083984375	2.861328125
0.013996	1.09375	2.900390625
0.015996	1.0986328125	2.939453125
0.017996	1.0986328125	2.958984375
0.019996	1.11328125	2.978515625
0.021996	1.123046875	2.9833984375
0.023996	1.123046875	2.98828125
0.025996	1.123046875	2.9931640625
0.028004	1.1181640625	2.98828125
0.03	1.123046875	0.0
0.032004	1.123046875	0.0
0.034	1.1328125	0.0
0.036004	1.1376953125	0.0
0.038	1.1376953125	0.0
0.040004	1.142578125	0.0
0.042	1.1474609375	0.0
0.044004	1.142578125	0.0
0.046	1.1572265625	0.0
0.048004	1.1572265625	0.0
0.05	1.1572265625	0.0
0.052004	1.1572265625	0.0
0.054	1.162109375	0.1123046875
0.056004	1.162109375	0.48828125
0.057996	1.162109375	0.8642578125
0.059996	1.1572265625	1.23046875
0.061996	1.162109375	1.5966796875
0.063996	1.162109375	1.9287109375
0.065996	1.1572265625	2.216796875
0.067996	1.1669921875	2.451171875
0.070004	1.171875	2.6220703125
0.072	1.171875	2.7490234375
0.074004	1.1669921875	2.83203125
0.076	1.162109375	2.880859375
0.078004	1.162109375	2.9296875
0.08	1.1669921875	2.94921875
0.082004	1.142578125	2.958984375
0.084	1.1572265625	2.978515625
0.086004	1.15234375	2.978515625
0.088	1.162109375	2.9931640625
0.090004	1.15234375	2.98828125
0.092	1.1572265625	2.9931640625
0.094004	1.1474609375	2.9931640625
0.096	1.1474609375	2.998046875
0.098004	1.15234375	2.998046875
0.099996	1.1474609375	2.9931640625
0.101996	1.1474609375	2.9931640625
0.103996	1.15234375	2.9931640625
0.105996	1.1572265625	2.998046875
0.107996	1.1572265625	2.98828125
0.109996	1.15234375	2.9931640625
0.112004	1.162109375	2.9931640625
0.114	1.162109375	2.998046875
0.116004	1.1669921875	2.9833984375
0.118	1.1669921875	2.9931640625
0.120004	1.1669921875	2.998046875
0.122	1.1572265625	2.98828125
0.124004	1.1669921875	2.998046875
0.126	1.162109375	2.9931640625
0.128004	1.171875	2.9931640625
0.13	1.171875	2.9931640625
0.132004	1.1767578125	2.9931640625
0.134	1.181640625	2.9931640625
0.136004	1.1865234375	2.9931640625
0.138	1.19140625	2.998046875
0.140004	1.1865234375	2.98828125
0.141996	1.1865234375	2.9931640625
0.143996	1.19140625	0.0
0.145996	1.1962890625	0.0
0.147996	1.201171875	0.0
0.149996	1.201171875	0.0
0.151996	1.201171875	0.0
0.153996	1.2109375	0.0
0.156004	1.2060546875	0.0
0.158	1.2158203125	0.0
0.160004	1.2158203125	0.0
0.162	1.220703125	0.0
0.164004	1.220703125	0.0
0.166	1.23046875	0.0
0.168004	1.23046875	0.2099609375
0.17	1.220703125	0.5810546875
0.172004	1.23046875	0.95703125
0.174	1.2353515625	1.328125
0.176004	1.2255859375	1.6845703125
0.178	1.240234375	2.0166015625
0.180004	1.240234375	2.28515625
0.182	1.2451171875	2.5048828125
0.184004	1.2451171875	2.65625
0.185996	1.25	2.7685546875
0.187996	1.25	2.8515625
0.189996	1.25	2.890625
0.191996	1.2548828125	2.9296875
0.193996	1.2548828125	2.958984375
0.195996	1.259765625	2.96875
0.198004	1.2646484375	2.9736328125
0.2	1.2451171875	2.98828125
0.202004	1.259765625	2.98828125
0.204	1.2548828125	2.9931640625
0.206004	1.2646484375	2.9931640625
0.208	1.259765625	2.9931640625
0.210004	1.2548828125	2.98828125
0.212	1.2548828125	2.998046875
0.214004	1.2451171875	2.9931640625
0.216	1.25	2.998046875
0.218004	1.25	2.98828125
0.22	1.2451171875	2.98828125
0.222004	1.2451171875	0.0
0.224	1.23046875	0.0
0.226004	1.23046875	0.0
0.227996	1.2353515625	0.0
0.229996	1.23046875	0.0
0.231996	1.2255859375	0.361328125
0.233996	1.2158203125	0.732421875
0.235996	1.220703125	1.0986328125
0.237996	1.2158203125	1.4697265625
0.240004	1.2158203125	1.81640625
0.242	1.2109375	2.1337890625
0.244004	1.2060546875	2.373046875
0.246	1.2060546875	2.5732421875
0.248004	1.1865234375	2.705078125
0.25	1.1865234375	2.8076171875
0.252004	1.181640625	2.861328125
0.254	1.1767578125	2.9150390625
0.256004	1.1767578125	2.9443359375
0.258	1.1669921875	2.958984375
0.260004	1.1669921875	2.978515625
0.262	1.1669921875	2.9833984375
0.264004	1.1572265625	2.98828125
0.266	1.142578125	2.9931640625
0.268004	1.1376953125	2.98828125
0.269996	1.1474609375	2.9931640625
0.271996	1.142578125	2.9931640625
0.273996	1.1376953125	2.9931640625
0.275996	1.1328125	2.998046875
0.277996	1.123046875	2.98828125
0.279996	1.1328125	2.9931640625
0.281996	1.123046875	2.998046875
0.284004	1.1181640625	2.9931640625
0.286	1.123046875	2.998046875
0.288004	1.11328125	2.9931640625
0.29	1.11328125	2.98828125
0.292004	1.1181640625	2.998046875
0.294	1.1083984375	2.998046875
0.296004	1.103515625	2.9931640625
0.298	1.11328125	2.998046875
0.300004	1.1083984375	2.98828125
0.302	1.1083984375	2.998046875
0.304004	1.1083984375	2.998046875
0.306	1.0986328125	2.9931640625
0.308004	1.09375	3.0029296875
0.31	1.103515625	2.98828125
0.312004	1.0888671875	2.9931640625
0.313996	1.1083984375	0.0
0.315996	1.103515625	0.0
0.317996	1.1083984375	0.0
0.319996	1.1083984375	0.0
0.321996	1.09375	0.0
0.323996	1.103515625	0.0
0.326004	1.103515625	0.0
0.328	1.11328125	0.0
0.330004	1.103515625	0.0
0.332	1.1083984375	0.0
0.334004	1.1181640625	0.0
0.336	1.11328125	0.0
0.338004	1.11328125	0.0
0.34	1.1181640625	0.0
0.342004	1.123046875	0.1318359375
0.344	1.1279296875	0.498046875
0.346004	1.11328125	0.87890625
0.348	1.123046875	1.2451171875
0.350004	1.123046875	1.6015625
0.352	1.1328125	1.943359375
0.354004	1.1328125	2.2314453125
0.355996	1.1376953125	2.4560546875
0.357996	1.1376953125	2.63671875
0.359996	1.1474609375	2.75390625
0.361996	1.142578125	2.8369140625
0.363996	1.1474609375	2.880859375
0.365996	1.15234375	2.919921875
0.368004	1.15234375	2.9541015625
0.37	1.162109375	2.96875
0.372004	1.1669921875	2.978515625
0.374	1.162109375	2.978515625
0.376004	1.1572265625	2.98828125
0.378	1.1669921875	2.98828125
0.380004	1.171875	2.98828125
0.382	1.1767578125	2.9833984375
0.384004	1.171875	2.998046875
0.386	1.1767578125	2.9931640625
0.388004	1.171875	2.9931640625
0.39	1.181640625	2.9931640625
0.392004	1.1767578125	2.98828125
0.394	1.181640625	2.998046875
0.396004	1.1865234375	2.98828125
0.397996	1.1767578125	2.9931640625
0.399996	1.19140625	3.0029296875
0.401996	1.181640625	3.0029296875
0.403996	1.19140625	2.9931640625
0.405996	1.1865234375	0.0
0.407996	1.201171875	0.0
0.409996	1.19140625	0.0
0.412004	1.1962890625	0.0
0.414	1.1962890625	0.0
0.416004	1.181640625	0.0
0.418	1.19140625	0.0
0.420004	1.19140625	0.0
0.422	1.1865234375	0.0
0.424004	1.2060546875	0.0
0.426	1.1962890625	0.0
0.428004	1.19140625	0.0
0.43	1.1962890625	0.2734375
0.432004	1.19140625	0.6494140625
0.434	1.201171875	1.0205078125
0.436004	1.19140625	1.396484375
0.438	1.1962890625	1.748046875
0.440004	1.19140625	2.0703125
0.441996	1.201171875	2.32421875
0.443996	1.19140625	2.5390625
0.445996	1.19140625	2.685546875
0.447996	1.1865234375	2.7880859375
0.449996	1.1962890625	2.8515625
0.451996	1.19140625	2.8955078125
0.454004	1.201171875	2.939453125
0.456	1.201171875	2.958984375
0.458004	1.201171875	2.9736328125
0.46	1.1962890625	2.978515625
0.462004	1.2060546875	2.9833984375
0.464	1.1962890625	2.98828125
0.466004	1.19140625	2.98828125
0.468	1.19140625	2.98828125
0.470004	1.1962890625	2.9833984375
0.472	1.1962890625	2.9931640625
0.474004	1.19140625	2.98828125
0.476	1.1865234375	2.998046875
0.478004	1.1962890625	2.9931640625
0.48	1.1865234375	2.9931640625
0.482004	1.1865234375	2.9931640625
0.483996	1.19140625	2.998046875
0.485996	1.181640625	3.0029296875
0.487996	1.201171875	0.0
0.489996	1.19140625	0.0
0.491996	1.1962890625	0.0
0.493996	1.1962890625	0.0
0.496004	1.201171875	0.0
0.498	1.1962890625	0.0
0.500004	1.19140625	0.0
0.502	1.201171875	0.0
