Channel Accuracy: 10 Bits
Measurement Range 0...5V --> Resolution: 5V/2^10 = 4.9mV
Measured two channels at a Frequency of 500 Hz
Time (s)	Ch.1 (V)	Ch.2 (V)
0	0.8349609375	0.0
0.001996	0.859375	0.0
0.004004	0.8544921875	0.0
0.006	0.859375	0.0
0.008004	0.8544921875	0.0
0.01	0.8544921875	0.0
0.012004	0.869140625	0.0
0.014	0.869140625	0.0
0.016004	0.888671875	0.0
0.018	0.888671875	0.0
0.020004	0.87890625	0.0
0.022	0.87890625	0.0
0.024004	0.8935546875	0.0
0.026	0.9033203125	0.0
0.028004	0.908203125	0.0
0.03	0.9326171875	0.0
0.032004	0.9375	0.0048828125
0.033996	0.9423828125	0.3759765625
0.035996	0.9375	0.751953125
0.037996	0.95703125	1.11328125
0.039996	0.966796875	1.484375
0.041996	0.9765625	1.8408203125
0.043996	0.9716796875	2.1484375
0.046004	0.9765625	2.3974609375
0.048	0.9716796875	2.5732421875
0.050004	0.9765625	2.71484375
0.052	0.9912109375	2.8076171875
0.054004	0.99609375	2.8662109375
0.056	1.005859375	2.9150390625
0.058004	1.005859375	2.94921875
0.06	1.005859375	2.9638671875
0.062004	1.0107421875	2.9736328125
0.064	1.015625	2.978515625
0.066004	1.025390625	2.98828125
0.068	1.0302734375	2.98828125
0.070004	1.025390625	2.9931640625
0.072	1.0205078125	2.9931640625
0.074004	1.0302734375	2.9931640625
0.075996	1.0302734375	2.9931640625
0.077996	1.03515625	2.998046875
0.079996	1.0400390625	2.998046875
0.081996	1.0400390625	2.9931640625
0.083996	1.0400390625	2.9931640625
0.085996	1.0400390625	2.998046875
0.088004	1.044921875	2.998046875
0.09	1.044921875	2.998046875
0.092004	1.0400390625	3.0029296875
0.094	1.044921875	2.98828125
0.096004	1.0498046875	2.9931640625
0.098	1.0498046875	2.998046875
0.100004	1.044921875	2.9931640625
0.102	1.044921875	2.998046875
0.104004	1.0400390625	0.0
0.106	1.044921875	0.0
0.108004	1.0498046875	0.0
0.11	1.044921875	0.0
0.112004	1.044921875	0.0
0.114	1.0498046875	0.0
0.116004	1.044921875	0.0
0.117996	1.0400390625	0.0
0.119996	1.044921875	0.0
0.121996	1.0498046875	0.0
0.123996	1.0498046875	0.0
0.125996	1.0498046875	0.0
0.127996	1.0400390625	0.0
0.129996	1.044921875	0.2001953125
0.132004	1.0546875	0.5810546875
0.134	1.0498046875	0.95703125
0.136004	1.044921875	1.3330078125
0.138	1.044921875	1.689453125
0.140004	1.0546875	2.0166015625
0.142	1.044921875	2.2900390625
0.144004	1.0400390625	2.5048828125
0.146	1.03515625	2.6611328125
0.148004	1.03515625	2.7783203125
0.15	1.0400390625	2.8466796875
0.152004	1.03515625	2.8955078125
