Nullwinkel:	259.4		Prisma	3				
								
	Lambda	III	II	I	He III	Winkel	Unbekannt III	Winkel
1	690.8							
2	623.4	200.2	211.4	221	rot	200.5	rot	200.3
3	579.1	199.5	211.05	220.45	gelb	199.55	grün (schwach)	198.2
4	577	199.4	211.05	220.45	zyan1	198.1	zyan1 (schwach)	198
5	546.1	199.15	211	220.4	zyan2	197.55	zyan2	197.4
6	499.2	198.05	210.1	220.3	violett1	197.15	blau1	197.2
7	491.6	197.55	210.05	220.3	violett2	196.2	blau2	197.05
8	345.8	196	209.05	220				
9	407.8	194.3	208.2	219.4			evtl Xenon	
10	404.7	194.15	208.05	219.4				
