,Reflexion,,,,,,,,Transmission,,,,,,,,,
,0,285 mV,,270,259 mV,,,,,0°,,,270°,,,,,
Einfallswinkel,s_pol_refl_mv,DMM Messbereich,Verstärker,p_pol_refl_mv,DMM Messbereich,Verstärker,cal,cal_amp,Einfallswinkel,s_pol_trans_mv,DMM_Messbereich,Verstärker,p_pol_trans_mv,DMM Messbereich,Verstärker,,cal,cal_amp
10,151,0.2 V,10,116.1,0.2 V,10,-14,100,0,291,2 V,1,251,2 V,1,,-3.9,100
12.5,150.9,,,116.1,,,,,5,293,,,250,,,,,
15,153.8,,,110.2,,,,,10,293,,,254,,,,,
17.5,157.9,,,106.3,,,,,15,290,,,254,,,,,
20,164.5,,,101.3,,,-21.7,,20,287,,,253,,,,,
22.5,171.3,,,96,,,,,25,283,,,252,,,,,
25,180,,,89.4,,,,,30,278,,,253,,,,,
27.5,189.2,,,83.4,,,,,35,270,,,253,,,,,
30,200,2 V,,75.4,,,-21,,40,260,,,254,,,,,
32.5,212,,,67.4,,,,,45,250,,,256,,,,,
35,228,,,58.3,,,,,50,237,,,254,,,,,
37.5,245,,,49.9,,,,,55,221,,,255,,,,,
40,264,,,40.1,,,-24,,60,199,,,250,,,,,
42.5,287,,,31.6,,,,,65,172,,,240,,,,,
45,316,,,22.4,,,,,70,139,,,222,,,,,
47.5,345,,,14.4,,,,,75,101,,,188,,,,,
50,380,,,76.6,,100,-25.8,,77.5,79,,,164,,,,,
52.5,425,,,26.1,,,,,80,58,,,135,,,,,
55,471,,,-6.5,,,,,82.5,38,,,100,,,,,
57.5,527,,,-1.7,,,,,85,22,,,61,,,,,
60,591,,,53.6,,,-29.1,,87.5,13,,,40,,,,,
62.5,669,,,173.6,,,,,90,,,,,,,,,
65,765,,,403,2V,,,,,,,,,,,,,
67.5,875,,,741,,,,,,,,,,,,,,
70,1002,,,1285,,,-32,,,,,,,,,,,
72.5,1145,,,2050,20 V,,,,,,,,,,,,,
75,1327,,,3170,,,,,,,,,,,,,,
77.5,1535,,,4680,,,,,,,,,,,,,,
80,1796,,,6880,,,-31.3,,,,,,,,,,,
82.5,2070,20V,,9950,,,,,,,,,,,,,,
85,2390,,,13810,,,,,,,,,,,,,,
87.5,2490,,,13760,,,,,,,,,,,,,,
,,,,,,,-30.8,,,,,,,,,,,
