,Reflexion,,,,,,,,,,,Transmission,,,,,,,,,
,0,285 mV,,270,259 mV,,,,,,,,0°,,,270°,,,,,
refl_angle,s_pol_refl_mv,s_refl_dmm_limit,s_refl_amp,p_pol_refl_mv,p_refl_dmm_limit,p_refl_amp,,,,,,trans_angle,s_pol_trans_mv,s_trans_dmm_limit,s_trans_amp,p_pol_trans_mv,p_trans_dmm_limit,p_trans_amp,cal_angle,cal,cal_amp
10,151,0.2,10,116.1,0.2,10,291,76.21,2.11703,4.0,9.07,0,291,2,1,251,2,1,0,-3.9,100
12.5,150.9,0.2,10,116.1,0.2,10,293,77.26,2.14623,4.0,9.13,5,293,2,1,250,2,1,10,-14,
15,153.8,0.2,10,110.2,0.2,10,293,77.26,2.14623,4.0,9.13,10,293,2,1,254,2,1,20,-21.7,
17.5,157.9,0.2,10,106.3,0.2,10,290,75.69,2.10250,4.0,9.04,15,290,2,1,254,2,1,30,-21,
20,164.5,0.2,10,101.3,0.2,10,287,74.13,2.05923,4.0,8.95,20,287,2,1,253,2,1,40,-24,
22.5,171.3,0.2,10,96,0.2,10,283,72.08,2.00223,4.0,8.84,25,283,2,1,252,2,1,50,-25.8,
25,180,0.2,10,89.4,0.2,10,278,69.56,1.93210,4.0,8.69,30,278,2,1,253,2,1,60,-29.1,
27.5,189.2,0.2,10,83.4,0.2,10,270,65.61,1.82250,4.0,8.45,35,270,2,1,253,2,1,70,-32,
30,200,2,10,75.4,0.2,10,260,60.84,1.69000,4.0,8.16,40,260,2,1,254,2,1,80,-31.3,
32.5,212,2,10,67.4,0.2,10,250,56.25,1.56250,4.0,7.86,45,250,2,1,256,2,1,90,-30.8,
35,228,2,10,58.3,0.2,10,237,50.55,1.40423,4.0,7.48,50,237,2,1,254,2,1,,,
37.5,245,2,10,49.9,0.2,10,221,43.96,1.22103,4.0,7.01,55,221,2,1,255,2,1,,,
40,264,2,10,40.1,0.2,10,199,35.64,0.99003,4.0,6.37,60,199,2,1,250,2,1,,,
42.5,287,2,10,31.6,0.2,10,172,26.63,0.73960,4.0,5.60,65,172,2,1,240,2,1,,,
45,316,2,10,22.4,0.2,10,139,17.39,0.48303,4.0,4.68,70,139,2,1,222,2,1,,,
47.5,345,2,10,14.4,0.2,10,101,9.18,0.25503,4.0,3.67,75,101,2,1,188,2,1,,,
50,380,2,10,76.6,0.2,100,79,5.62,0.15603,4.0,3.13,77.5,79,2,1,164,2,1,,,
52.5,425,2,10,26.1,0.2,100,58,3.03,0.08410,4.0,2.67,80,58,2,1,135,2,1,,,
55,471,2,10,-6.5,0.2,100,38,1.30,0.03610,4.0,2.31,82.5,38,2,1,100,2,1,,,
57.5,527,2,10,-1.7,0.2,100,22,0.44,0.01210,4.0,2.11,85,22,2,1,61,2,1,,,
60,591,2,10,53.6,0.2,100,13,0.15,0.00423,4.0,2.04,87.5,13,2,1,40,2,1,,,
62.5,669,2,10,173.6,0.2,100,,,,,,,,,,,,,,,
65,765,2,10,403,2,100,,,,,,,,,,,,,,,
67.5,875,2,10,741,2,100,,,,,,,,,,,,,,,
70,1002,2,10,1285,2,100,,,,,,,,,,,,,,,
72.5,1145,2,10,2050,20,100,,,,,,,,,,,,,,,
75,1327,2,10,3170,20,100,,,,,,,,,,,,,,,
77.5,1535,2,10,4680,20,100,,,,,,,,,,,,,,,
80,1796,2,10,6880,20,100,,,,,,,,,,,,,,,
82.5,2070,20,10,9950,20,100,,,,,,,,,,,,,,,
85,2390,20,10,13810,20,100,,,,,,,,,,,,,,,
87.5,2490,20,10,13760,20,100,,,,,,,,,,,,,,,
